Codigo UNSPSC,Descripción,Fecha estimada de inicio de proceso de selección,Duración estimada del contrato,Modalidad de selección ,Fuente de los recursos,Valor total estimado,Valor estimado en la vigencia actual,¿Se requieren vigencias futuras?,Estado de solicitud de vigencias futuras,Datos de contacto del responsable,(none)
80111600,"Prestar los servicios profesionales de asesoría en materia tributaria, jurisdiccón coactiva, así como el apoyo técnico a la secretaría de hacienda y tesorería municipal en fiscalización tributaria",01/04/2017,6 meses,Dierecta,recursos propios,26858456,26858456,No,N/A,HECTOR A SALCEDO Sec Hacienda,
80111600,Prestar los servicios profesionales de apoyo a la administración municipal como Ingeniero en el área de sistemas,01/04/2017,6 meses,Dierecta,recursos propios,14400000,14400000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios profesionales en asuntos administrativos y financieros e instrumentación de cobros coactivos en materia de alumbrado público,01/04/2017,6 meses,Dierecta,recursos propios,16200000,16200000,No,N/A,HECTOR A SALCEDO Sec Hacienda,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,7200000,7200000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como conductor del bus municipal,01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de acompañamiento a la gestión administrativa en la secretaría de salud y desarrollo social para el cumplimiento de los objetivos programáticos y demás responsabilidades exigidas por el ministerio de salud y demás autoridades competentes,01/04/2017,6 meses,Dierecta,recursos propios,13843914,13843914,No,N/A,UAN CARLOS URIBE -  SEC DE SALUD,
80111600,"Prestar los servicios para el acompañamiento a la gestiòn administrativa en la secretaìa de salud y desarrollo social, para el cumplimiento de los objetivos progamáticos y demás responsabilidades exigidas por el ministerio de salud y demás autoridades competentes",01/04/2017,6 meses,Dierecta,recursos propios,10436916,10436916,No,N/A,UAN CARLOS URIBE -  SEC DE SALUD,
80111600,"Prestar los servicios para el acompañamiento a la gestiòn administrativa en la secretaìa de salud y desarrollo social, para el cumplimiento de los objetivos progamáticos y demás responsabilidades exigidas por el ministerio de salud y demás autoridades competentes",01/04/2017,6 meses,Dierecta,recursos propios,10340076,10340076,No,N/A,UAN CARLOS URIBE -  SEC DE SALUD,
80111600,Prestación de servicios para el acompañaminto en la secretaría de salud para el cumplimiento de los objetivos programáticos y demás responsabilidades exigidas por el ministerio de salud y demás autoridades competentes,01/04/2017,6 meses,Dierecta,recursos propios,17078700,17078700,No,N/A,UAN CARLOS URIBE -  SEC DE SALUD,
80111600,"Prestar los servicios profesionales de apoyo a la gestión administrativa en la secretaria de salud y desarrollo social del municipio de caucasia en la recolección, tabulación, canalización y analisis de los datos informativos que se generen en el sistema de salud local",01/04/2017,6 meses,Dierecta,recursos propios,14555244,14555244,No,N/A,UAN CARLOS URIBE -  SEC DE SALUD,
80111600,"Prestar los servicios profesionales en la implementación, educación y desarrollo de la Ley 1150 y sus Decretos Reglamentarios ",01/04/2017,6 meses,Dierecta,recursos propios,22200000,22200000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestación de servicios brindando apoyo a la administración municipal en la oficina de tesorería municipal,01/04/2017,6 meses,Dierecta,recursos propios,9000000,9000000,No,N/A,HECTOR A SALCEDO Sec Hacienda,
80111600,Prestar los servicios brindando apoyo a la administraió municipal en las gestiones asignadas en la oficina de catastro municipal,01/04/2017,6 meses,Dierecta,recursos propios,8730000,8730000,No,N/A,HECTOR A SALCEDO Sec Hacienda,
80111600,Prestar los servicios de apoyo para la asistencia administrativa al banco de proyectos y secretaria de planeación,01/04/2017,6 meses,Dierecta,recursos propios,9609300,9609300,No,N/A,DIEGO ALEJANDRO MORA - SC- PLANEACION,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como celador de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,6060000,6060000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como coordinador la maquinaria pesada al servicio del municipio de caucasia,01/04/2017,6 meses,Dierecta,recursos propios,14100000,14100000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios de apoyo a la administración municipal en las gestiones asignadas como conductor de la administración municipal,01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,"Prestar los servicios de apoyo a la operación de maquinaria pesada, en la ejecución del proyecto de mejoramiento de vías urbanas y rurales",01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,"Prestar los servicios de apoyo a la operación de maquinaria pesada, en la ejecución del proyecto de mejoramiento de vías urbanas y rurales",01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,"Prestar los servicios de apoyo a la operación de maquinaria pesada, en la ejecución del proyecto de mejoramiento de vías urbanas y rurales",01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,"Prestar los servicios de apoyo a la operación de maquinaria pesada, en la ejecución del proyecto de mejoramiento de vías urbanas y rurales",01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,"Prestar los servicios de apoyo a la operación de maquinaria pesada, en la ejecución del proyecto de mejoramiento de vías urbanas y rurales",01/04/2017,6 meses,Dierecta,recursos propios,10380000,10380000,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,"Prestar los servicios de apoyo a la operación de maquinaria pesada, en la ejecución del proyecto de mejoramiento de vías urbanas y rurales",01/04/2017,6 meses,Dierecta,recursos propios,13945398,13945398,No,N/A,GONZALO CORREA - SEC DE GOBIERNO,
80111600,Prestar los servicios profesionales para atender los requerimientos hechos por la secretaría de minas y autorización temporal NHH-15101,01/04/2017,6 meses,Dierecta,recursos propios,25000000,25000000,No,N/A,UAN CARLOS URIBE -  SEC DE SALUD,Informe de compatibilidad para formatopaa 2015.xls
,Ejecutar el 15/01/2015 12:24,,,,,,,,,,
,Las siguientes características de este libro no son compatibles con versiones anteriores de Excel. Estas características podrían perderse o degradarse si guarda el libro con un formato de archivo anterior.,,,,,,,,,,
,Pérdida menor de fidelidad,,,Nº de apariciones,,,,,,,
,Algunas celdas o estilos de este libro contienen un formato no admitido en el formato de archivo seleccionado. Estos formatos se convertirán al formato más cercano disponible.,,,7,,,,,,,
