VMATRI PROM HORAS ESTRATO
549.907 3.8 21 3
613.896 3.5 27 2
653.733 2.9 27 3
515.403 3.4 17 2
788.830 3.3 21 3
516.304 4.1 28 3
594.031 3.7 24 2
586.543 3.1 20 3
614.631 3.4 27 2
685.520 3.4 26 3
757.596 3.3 28 6
853.523 3.6 22 3
763.801 3.8 27 3
510.253 3.2 22 2
790.985 3.3 20 2
557.275 3.5 20 2
722.637 3.8 31 2
771.767 3.9 23 3
529.542 3.9 27 2
771.848 3.4 28 2
417.698 3.5 18 2
515.990 2.9 25 6
614.424 3.7 25 6
620.304 3.2 22 2
733.118 3.2 19 5
667.012 3.1 26 3
441.346 3.0 27 3
758.202 4.2 25 3
424.136 3.6 22 3
607.069 3.4 26 6
632.125 4.0 25 1
726.033 3.2 22 3
644.806 3.2 28 4
683.493 3.7 32 3
531.908 4.2 19 1
786.791 3.1 34 1
669.473 3.7 27 5
193.355 3.8 32 4
466.010 2.7 23 4
618.526 3.8 30 3
629.420 2.8 22 4
610.838 3.8 32 2
683.612 3.1 20 1
501.672 3.7 28 3
840.014 3.6 20 2
622.239 3.3 22 3
489.955 2.7 23 2
703.629 3.6 21 3
806.927 3.7 22 3
895.99 3.0 24 5
606.69 3.2 29 5
942.07 3.7 20 1
410.22 3.4 24 2
713.99 3.6 23 4
591.80 3.2 24 3
775.45 3.0 21 4
663.00 3.3 19 3
746.49 3.9 22 3
813.14 4.0 22 2
632.82 3.8 23 2
550.21 3.7 16 3
714.71 3.5 21 5
578.88 4.3 26 3
1190.64 3.7 23 3
595.14 3.4 16 2
502.29 4.1 26 1
721.39 2.9 20 3
667.23 3.7 25 3
511.08 4.2 31 3
653.22 3.8 19 2
556.67 3.7 23 2
561.49 3.5 23 2
434.56 2.7 19 4
949.15 3.6 22 3
875.69 3.0 29 2
908.33 3.5 18 1
647.96 4.0 25 4
670.54 3.6 27 3
939.58 3.2 19 5
1000.41 3.5 26 2
795.98 3.9 15 2
628.49 2.9 21 3
740.98 3.6 23 4
942.90 4.3 23 2
357.58 2.8 21 4
343.24 3.7 28 2
722.43 3.5 24 1
621.86 3.4 25 6
701.28 3.7 24 3
461.73 3.8 28 6
650.08 3.3 24 2
447.22 3.6 22 2
485.57 3.3 22 3
779.01 3.2 23 3
978.33 3.2 22 1
707.93 3.1 27 3
1055.01 3.8 28 3
1017.54 3.3 20 3
502.64 3.2 18 4
543.56 4.2 27 2
708.801 3.3 27 2
965.589 3.4 17 3
389.309 3.5 24 2
411.869 4.1 25 2
977.932 2.9 27 5
711.137 3.9 26 2
609.076 3.7 22 3
696.292 3.9 19 2
618.419 4.4 28 3
688.717 3.2 29 3
594.877 3.9 26 1
720.344 3.2 19 4
602.736 4.1 25 2
670.993 3.0 21 2
651.790 3.9 29 4
862.042 3.5 20 4
492.485 2.6 30 2
432.055 3.2 23 3
789.158 3.4 29 4
696.745 3.3 20 1
716.683 3.8 27 2
683.819 3.3 27 6
763.660 3.7 23 2
133.508 3.1 28 4
860.561 3.2 16 3
445.680 3.5 28 2
572.815 3.6 25 3
774.873 3.8 27 3
745.940 3.9 30 5
688.266 4.0 21 4
568.153 3.9 23 3
706.967 3.6 26 2
667.057 3.0 25 3
639.702 4.1 27 3
597.545 3.0 29 2
888.265 3.5 25 2
514.274 2.7 26 3
745.707 3.6 17 6
814.803 3.6 25 2
704.121 3.4 15 5
163.351 3.9 21 3
723.936 3.1 16 6
688.486 3.0 27 6
586.738 3.9 22 3
886.335 3.6 20 3
737.202 3.3 27 1
604.195 3.4 20 3
589.026 3.5 22 3
537.524 3.7 26 2
975.246 3.3 20 3
906.037 3.1 31 2
663.86 3.7 17 3
649.72 3.6 24 3
661.18 3.8 25 2
544.79 3.4 23 2
367.57 3.6 29 2
877.36 3.3 22 3
416.21 3.3 20 2
631.68 4.2 24 3
520.43 3.8 23 2
468.60 3.9 25 4
969.29 3.5 22 2
433.56 2.6 30 2
748.49 3.8 17 3
370.93 3.2 21 4
527.80 3.9 20 2
502.99 3.9 25 3
582.10 3.7 26 3
840.48 3.3 21 3
773.01 4.1 26 5
643.99 3.5 18 2
1019.01 3.6 18 3
803.89 3.7 25 3
714.09 3.4 20 3
483.83 3.7 22 3
788.70 3.4 30 2
613.21 3.4 18 5
423.92 3.2 25 3
639.41 3.7 24 3
658.83 3.6 24 5
580.47 3.5 25 3
617.62 3.2 23 3
758.05 3.8 35 3
701.90 2.9 23 2
1016.29 3.5 25 2
793.55 3.2 27 1
740.44 4.0 23 2
862.50 3.3 26 3
448.97 3.3 29 3
426.11 3.7 37 5
601.02 2.6 16 3
502.94 3.6 25 3
764.99 3.3 22 4
481.02 3.4 27 2
669.30 3.8 30 4
360.01 3.5 22 2
811.47 3.2 24 2
871.81 3.9 24 3
797.29 3.9 24 1
989.54 3.4 27 3
901.76 3.0 29 4
549.64 3.0 25 1
487.37 3.8 26 2
726.58 3.7 30 2
703.68 3.5 23 4
635.48 4.2 24 2
394.75 4.1 23 3
706.89 3.6 25 2
620.61 3.5 23 4
626.71 3.8 30 5
718.66 3.1 27 2
709.19 3.3 19 2
845.33 3.6 25 1
972.58 3.1 18 3
867.47 2.9 23 3
527.64 3.5 26 1
591.63 3.2 27 1
758.82 3.7 21 5
628.26 3.5 30 2
615.02 3.4 30 3
475.08 3.3 24 2
705.78 3.5 23 1
680.00 2.6 25 2
636.63 3.6 19 3
632.72 3.5 27 3
454.88 3.3 22 4
553.23 3.5 30 3
787.04 2.9 24 5
390.37 4.0 31 2
533.02 3.5 28 3
1010.41 3.7 26 3
534.72 3.5 25 2
580.58 2.8 23 1
415.38 4.1 21 4
471.77 2.6 26 3
684.58 3.3 19 4
714.24 3.1 23 3
578.48 4.2 26 3
759.71 3.8 21 2
711.56 3.5 30 3
562.28 3.4 18 3
346.77 3.8 22 1
737.91 3.6 25 3
478.20 3.1 26 3
476.29 3.0 28 3
957.22 4.2 28 1
332.59 3.8 26 2
497.85 3.6 25 2
720.60 3.9 25 3
268.07 3.5 24 3
665.40 3.1 22 5
784.98 2.9 30 2
510.91 3.6 26 6
545.001 4.1 26 2
353.672 3.4 24 2
648.326 3.6 29 3
747.901 3.0 28 3
824.816 3.2 23 3
666.819 3.5 29 5
618.993 3.6 15 2
700.765 3.4 20 3
836.233 4.1 17 3
776.882 3.1 22 1
621.470 3.2 25 2
535.025 3.1 26 4
424.316 3.2 26 3
709.656 3.1 25 2
847.723 3.1 24 1
638.183 3.6 24 3
939.229 3.3 22 3
825.477 2.7 21 3
258.662 3.5 22 2
674.316 3.4 17 2
890.387 2.6 15 2
456.863 3.7 22 5
648.134 3.2 13 4
727.291 4.5 20 3
605.767 3.3 23 4
574.659 4.0 24 2
776.746 3.2 29 3
678.276 3.4 23 3
371.094 4.0 24 2
693.261 3.2 24 2
455.248 3.7 15 3
721.114 3.7 22 2
563.067 3.5 26 2
987.141 3.8 19 3
387.072 3.5 22 3
692.847 3.0 25 3
793.911 2.9 25 2
743.892 3.4 26 1
407.835 3.2 22 3
645.863 3.8 24 4
520.366 3.7 25 2
716.725 3.7 17 3
603.246 3.0 26 2
541.492 3.2 19 6
800.123 3.0 26 2
490.915 3.3 18 4
625.310 3.5 24 2
538.155 3.1 22 5
147.770 3.1 23 2
358.247 3.4 23 3
595.720 4.2 27 6
922.418 3.4 23 5
697.119 3.8 26 3
870.783 3.7 17 2
779.445 3.6 21 4
659.339 3.7 25 5
810.625 3.2 23 4
564.094 3.5 21 3
939.367 3.3 24 2
509.070 3.9 22 2
622.948 3.3 14 3
691.402 3.8 24 4
370.926 2.8 27 2
665.718 3.3 32 3
636.839 3.6 19 3
575.867 3.3 23 3
242.893 3.8 18 2
644.454 3.9 27 6
530.851 3.1 17 3
601.737 3.5 26 3
663.906 3.7 30 3
787.486 3.8 22 3
673.133 3.0 19 3
503.042 4.0 27 5
645.416 2.9 22 5
824.295 2.8 20 2
660.942 3.2 29 6
786.741 3.1 22 2
843.590 3.5 19 4
693.659 2.4 20 3
623.517 2.9 26 3
773.826 3.3 26 3
645.606 3.5 18 5
777.300 3.2 25 3
589.588 3.1 22 2
632.822 2.8 22 3
508.674 3.7 23 3
371.202 3.1 25 3
519.566 3.4 25 1
453.831 4.0 21 3
252.105 3.6 26 3
516.287 4.1 27 3
498.408 3.6 16 5
649.401 4.2 26 4
474.357 4.0 25 2
478.509 3.9 22 2
681.492 3.3 19 2
457.035 3.7 22 1
593.028 4.0 25 2
683.485 3.7 24 2
828.138 3.2 26 2
606.322 3.0 27 3
559.062 3.4 30 1
968.906 3.5 21 3
755.910 3.6 28 3
656.128 3.6 24 3
747.724 3.6 23 1
717.943 3.6 17 4
681.445 3.7 27 4
755.523 3.9 23 2
646.170 3.0 23 4
640.642 4.2 25 5
906.797 3.5 25 5
588.527 3.6 28 3
408.180 3.4 22 2
683.309 3.1 27 5
769.194 3.6 25 2
587.826 4.2 27 5
451.102 3.8 25 1
422.700 3.7 22 1
631.878 3.9 25 2
584.426 3.8 23 4
594.174 3.6 20 3
500.916 3.7 20 2
692.651 4.1 28 4
237.534 3.8 30 3
751.621 3.5 22 2
846.261 3.6 29 3
536.930 3.6 23 6
609.231 3.6 25 3
182.975 3.3 19 3
876.858 3.8 26 2
521.561 3.2 22 3
822.518 3.2 20 3
639.486 3.6 24 3
839.876 3.6 27 3
742.107 3.8 22 2
621.176 3.1 24 2
663.182 3.3 26 3
749.892 3.1 28 3
587.732 3.3 20 3
604.296 3.4 20 1
496.073 3.4 29 3
863.139 3.3 27 2
659.756 3.1 27 2
511.624 3.7 19 2
779.326 3.5 25 2
896.341 3.5 25 3
652.190 3.1 23 3
490.808 3.3 23 3
633.754 3.6 20 5
728.191 4.2 25 3
524.037 4.0 24 1
849.26 3.1 24 3
908.39 3.7 25 3
765.13 3.7 28 1
622.60 3.7 22 3
587.53 3.0 33 2
544.87 3.7 23 3
781.66 3.0 25 2
626.28 3.4 22 2
792.06 3.8 24 3
775.77 3.8 20 1
340.21 3.9 24 4
740.18 3.4 24 4
762.66 3.3 24 3
681.17 4.3 21 3
383.64 3.2 20 3
839.10 3.4 24 3
391.06 4.2 22 3
458.08 3.5 24 4
503.06 3.5 27 3
633.66 2.9 17 3
717.61 3.7 31 3
651.92 4.0 33 4
581.19 3.0 20 3
485.30 3.6 35 3
777.41 3.2 26 2
659.89 3.4 26 2
737.35 3.8 22 4
479.82 3.9 20 5
450.89 3.3 21 3
775.72 3.4 22 3
532.93 4.1 21 2
687.99 4.2 13 4
736.04 3.8 26 3
755.70 4.0 17 2
539.39 4.3 27 2
910.79 4.0 30 5
512.52 2.6 24 2
576.54 3.4 21 3
495.08 3.8 27 1
780.08 3.3 28 3
692.47 3.2 24 3
351.38 3.8 26 2
409.31 3.2 19 3
806.02 3.6 28 3
1007.69 2.7 24 2
871.78 3.5 25 3
557.22 3.5 25 5
893.36 3.3 20 1
891.40 3.7 24 4
517.04 3.3 24 3
781.03 4.1 19 4
847.47 3.3 26 2
433.32 2.3 25 3
394.77 4.1 23 3
577.68 3.4 25 3
578.27 3.4 16 2
736.11 3.6 33 2
411.68 3.4 23 3
521.42 3.4 27 2
543.69 3.4 26 5
821.42 3.7 27 3
557.58 3.9 30 2
655.75 4.2 18 6
767.89 4.0 27 2
662.79 4.1 26 1
774.39 4.0 25 2
529.72 3.6 22 2
684.35 3.2 27 3
787.29 3.2 28 2
811.24 3.0 22 3
742.87 4.1 30 3
604.47 3.4 21 3
682.42 3.6 26 2
896.81 3.8 21 3
668.81 3.7 26 3
500.81 3.4 24 2
694.55 3.5 24 5
804.40 3.5 23 3
1056.22 3.7 26 5
416.75 3.5 25 5
721.28 3.9 25 2
627.07 3.1 23 5
855.03 3.1 24 3
691.67 3.5 23 3
661.57 3.7 28 2
795.99 3.9 20 3
898.28 3.0 24 3
468.10 3.4 30 3
575.08 3.0 32 2
599.14 3.9 21 2
440.08 3.1 26 2
708.37 4.1 25 5
465.62 3.4 23 3
799.68 4.2 21 2
727.79 3.7 26 1
717.77 3.3 22 3
582.10 4.2 23 1
626.98 2.7 28 3
654.48 3.3 21 5
739.25 3.0 24 3
612.25 3.0 26 3
614.26 3.3 23 1
314.39 3.0 21 4
565.41 3.7 26 4
597.98 3.2 26 3
605.56 4.1 31 3
467.13 4.1 18 2
808.70 3.6 21 2
384.80 3.0 30 2
462.87 3.8 23 3
828.01 3.6 22 3
684.11 3.6 24 2
497.83 3.3 24 3
728.71 3.3 29 2
1021.09 3.2 25 2
531.15 3.4 23 2
515.14 2.9 19 1
531.38 3.3 20 3
798.31 4.2 21 2
286.10 3.3 30 1
735.28 3.3 21 3
755.52 2.9 23 3
359.44 2.8 24 5
729.19 3.6 35 5
503.33 3.9 20 2
419.95 4.0 23 2
531.37 3.6 18 3
663.56 3.5 23 4
835.81 3.7 20 4
689.56 3.2 23 3
948.13 3.2 28 2
670.70 3.6 26 1
531.17 4.3 23 2
529.50 3.7 25 4
605.19 3.7 33 1
858.29 4.0 27 6
716.74 3.6 25 3
831.04 3.5 22 3
437.25 2.8 24 3
774.99 3.2 24 3
1012.69 3.2 24 2
663.11 3.4 34 5
706.35 3.3 22 2
304.33 3.4 24 2
391.37 3.4 22 2
492.02 2.8 22 3
641.78 3.5 27 4
741.01 3.0 28 3
696.31 3.1 24 2
474.42 3.5 22 3
247.28 3.5 23 6
294.41 3.2 31 3
658.65 3.0 26 3
667.431 3.8 24 3
585.243 3.8 26 3
635.589 3.8 20 2
500.495 3.1 21 1
736.155 3.3 23 1
607.047 3.4 28 3
562.186 2.8 25 3
600.879 3.3 26 5
621.181 4.0 28 3
946.569 3.5 25 3
671.488 3.2 25 2
785.184 3.4 21 5
599.692 2.6 20 5
532.198 4.0 28 3
632.237 3.4 33 3
366.244 3.4 24 4
488.660 3.2 18 2
418.580 3.2 33 2
495.799 4.0 27 3
890.878 3.4 30 1
484.606 3.2 27 2
621.421 3.1 35 2
608.580 3.5 20 3
569.747 3.6 20 3
504.773 3.0 28 2
513.483 3.7 24 2
559.187 3.7 24 3
837.133 3.2 20 3
782.864 3.6 32 4
944.919 3.6 27 5
479.382 3.8 25 2
873.731 3.7 26 2
769.658 4.1 23 1
485.922 3.7 21 5
368.753 4.0 34 3
501.032 3.4 21 4
524.573 2.9 25 2
585.419 3.6 27 6
694.659 2.5 29 5
525.454 3.2 26 4
587.023 4.0 24 6
238.510 3.7 23 3
583.516 2.9 24 2
533.182 3.0 26 1
823.317 3.1 23 6
297.641 3.8 23 3
811.352 3.3 26 6
466.391 3.8 19 5
687.924 3.6 23 1
906.517 3.6 32 4
253.610 3.1 25 3
552.09 3.4 26 2
597.77 3.2 33 5
485.04 3.5 17 3
598.78 3.4 30 3
666.62 3.8 23 2
635.84 4.4 20 3
494.47 3.9 25 5
718.37 3.5 29 2
435.17 4.3 28 6
738.42 4.3 21 3
535.81 3.3 19 3
1111.65 4.2 20 5
659.72 3.1 30 2
935.93 3.9 27 1
806.03 3.1 22 4
645.94 4.0 29 5
691.84 4.1 24 2
488.42 4.0 27 3
668.84 3.8 18 3
925.62 3.5 24 6
348.95 3.8 23 1
452.93 3.9 25 4
751.99 3.0 23 3
858.95 3.8 25 6
310.91 3.2 22 5
710.76 4.1 28 2
676.90 3.5 23 3
490.40 3.3 26 4
554.13 3.7 18 5
763.28 3.8 21 3
879.41 3.6 17 2
853.50 3.2 27 6
293.16 2.2 23 1
809.01 3.7 28 4
466.02 3.2 21 4
752.34 3.5 25 2
735.49 3.9 27 4
729.65 3.5 29 5
519.12 3.7 26 3
524.45 3.3 29 4
500.32 3.3 20 3
521.23 3.8 28 3
684.55 3.5 28 4
717.83 3.7 27 3
619.21 3.2 28 3
578.10 3.0 19 3
362.94 3.7 28 3
515.86 2.5 26 3
766.56 3.4 20 3
596.01 3.3 14 4
397.26 3.9 25 3
909.341 3.1 24 4
464.938 3.9 21 3
609.128 4.2 26 3
804.729 4.1 24 2
745.664 4.3 20 2
711.898 3.8 19 3
893.777 3.8 20 2
593.318 3.6 24 3
496.983 3.8 28 2
666.397 3.1 28 3
712.320 3.7 24 2
542.392 3.3 15 3
670.813 3.7 24 3
533.532 3.1 25 3
707.464 3.4 25 2
763.268 3.8 21 4
805.832 3.5 29 5
552.977 3.2 18 2
872.404 3.5 21 3
494.976 3.8 29 2
511.440 3.1 20 3
509.575 3.1 28 2
442.945 4.3 23 5
603.037 3.8 21 3
579.779 3.9 25 2
707.192 3.9 29 3
915.987 3.5 28 3
477.872 3.1 22 2
461.129 3.3 30 3
943.796 4.3 23 5
739.182 4.1 22 3
648.852 2.7 24 4
679.242 3.9 18 3
406.686 3.5 22 5
649.230 3.3 24 4
632.779 3.7 29 2
408.274 2.9 20 6
619.029 3.4 25 3
639.521 3.3 18 2
737.899 3.4 24 2
337.786 3.5 26 2
732.143 2.6 22 2
643.388 3.9 27 3
735.761 3.5 23 3
851.013 4.3 20 1
667.516 3.5 22 3
531.979 2.6 27 3
443.528 3.4 24 2
685.885 3.3 23 3
404.997 3.1 22 3
351.818 3.4 17 2
316.616 3.8 28 1
784.062 3.9 27 5
701.163 3.3 20 1
494.769 3.5 23 3
775.402 2.8 24 6
479.482 3.4 19 1
383.559 3.5 27 1
791.490 3.7 27 3
679.565 3.2 20 2
555.394 4.1 24 3
898.368 3.6 23 3
566.246 3.5 21 2
840.824 3.7 20 2
690.813 3.9 25 2
602.865 3.0 27 4
495.230 3.6 29 3
682.580 4.4 26 4
504.604 3.3 21 4
452.201 3.4 21 2
969.567 3.0 26 2
649.483 3.4 27 3
566.698 3.1 22 3
525.172 3.3 23 6
460.274 3.6 19 3
442.699 3.0 30 2
581.676 3.3 20 2
748.120 3.6 30 3
800.495 3.3 33 2
779.620 3.4 20 2
657.605 3.8 22 4
655.579 3.7 21 2
